Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgEssentialStrictModified,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariableInternal,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariableProtectedInternal,CountDeclInstanceVariablePublic,CountDeclLibunit,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodInternal,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodProtectedInternal,CountDeclMethodPublic,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProgunit,CountDeclProperty,CountDeclPropertyAuto,CountDeclSubprogram,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPackageCoupled,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,EssentialStrictModified,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxEssentialStrictModified,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,SumEssentialStrictModified
Unnamed Function,"(unnamed_function_1)",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/resources/net/siliconcode/sonar/quamoco/test.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,37,,37,,176,,,176,,22,,22,,,,,233,,,,1,,,35,35,,,63,63,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Unnamed Function,"(unnamed_function_1)",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/resources/net/siliconcode/sonar/quamoco/testing_test.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,,1,,,,1,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Unnamed Function,"(unnamed_function_1)",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/resources/net/siliconcode/sonar/quamoco/summary_test.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,,1,,,,1,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Unnamed Function,"(unnamed_function_1)",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/resources/net/siliconcode/sonar/quamoco/td_test.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,,1,,,,1,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Function,"(unnamed_function_1).testCoverage",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/resources/net/siliconcode/sonar/quamoco/test.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,0,,5,,,5,,0,,0,,,,,5,,,,1,,,2,2,,,2,2,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Function,"(unnamed_function_1).testResults",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/resources/net/siliconcode/sonar/quamoco/test.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,0,,3,,,3,,0,,0,,,,,3,,,,1,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Function,"(unnamed_function_1).testThreshold",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/resources/net/siliconcode/sonar/quamoco/test.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,0,,5,,,5,,0,,0,,,,,5,,,,1,,,2,2,,,2,2,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Function,"(unnamed_function_1).testTranslate",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/resources/net/siliconcode/sonar/quamoco/test.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,0,,5,,,5,,0,,0,,,,,5,,,,1,,,2,2,,,2,2,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Unnamed Function,"(unnamed_function_1).testTranslate.(unnamed_function_5)",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/resources/net/siliconcode/sonar/quamoco/test.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,0,,3,,,3,,0,,0,,,,,3,,,,1,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Function,"(unnamed_function_1).testWidth",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/resources/net/siliconcode/sonar/quamoco/test.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,,0,,6,,,6,,0,,0,,,,,6,,,,1,,,3,3,,,2,2,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Unnamed Function,"(unnamed_function_1).testWidth.(unnamed_function_6)",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/resources/net/siliconcode/sonar/quamoco/test.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,0,,3,,,3,,0,,0,,,,,3,,,,1,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Unnamed Function,"(unnamed_function_2)",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/resources/net/siliconcode/sonar/quamoco/summary_test.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,,0,,7,,,7,,0,,0,,,,,7,,,,3,,,2,2,,,5,5,,3,3,3,3,,,,,,,,,,2,,,,,,,,
Unnamed Function,"(unnamed_function_2)",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/resources/net/siliconcode/sonar/quamoco/td_test.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,,1,,,,1,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Unnamed Function,"(unnamed_function_3)",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/resources/net/siliconcode/sonar/quamoco/summary_test.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,,1,,,,1,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Unnamed Function,"(unnamed_function_3)",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/resources/net/siliconcode/sonar/quamoco/td_test.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,,1,,,,1,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Unnamed Function,"(unnamed_function_4)",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/resources/net/siliconcode/sonar/quamoco/td_test.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,,0,,8,,,8,,0,,0,,,,,8,,,,3,,,1,1,,,5,5,,3,3,3,3,,,,,,,,,,2,,,,,,,,
Unnamed Function,"(unnamed_function_5)",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/resources/net/siliconcode/sonar/quamoco/td_test.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,,0,,8,,,8,,0,,0,,,,,8,,,,3,,,1,1,,,5,5,,3,3,3,3,,,,,,,,,,2,,,,,,,,
Unnamed Function,"(unnamed_function_6)",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/resources/net/siliconcode/sonar/quamoco/td_test.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,,1,,,,1,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,,
Unnamed Function,"(unnamed_function_7)",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/resources/net/siliconcode/sonar/quamoco/td_test.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,,,1,,,,1,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,,
